year,start_date,end_date,total_people,turnstile_count,comments
1992,7/3/1992,7/6/1992,1750,NA,
1993,7/2/1993,7/4/1993,1693,NA,
1994,7/1/1994,7/3/1994,2057,NA,
1995,6/30/1995,7/2/1995,2138,NA,
1996,6/28/1996,6/30/1996,2918,NA,
1997,7/4/1997,7/6/1997,3826,NA,
1998,7/3/1998,7/5/1998,4883,NA,
1999,7/16/1999,7/18/1999,6400,NA,
2000,6/30/2000,7/3/2000,9700,NA,
2001,7/5/2001,7/8/2001,13000,NA,first AX hosted at a convention center
2002,7/4/2002,7/7/2002,15250,NA,
2003,7/3/2003,7/6/2003,17000,NA,
2004,7/2/2004,7/5/2004,25000,NA,
2005,7/1/2005,7/4/2005,33000,NA,
2006,7/1/2006,7/4/2006,40647,NA,
2007,6/29/2007,7/2/2007,41671,NA,
2008,7/3/2008,7/6/2008,43000,103000,first AX hosted at LA Convention Center (current home of AX)
2009,7/2/2009,7/5/2009,44000,109000,
2010,7/1/2010,7/4/2010,46000,105000,
2011,7/1/2011,7/4/2011,47000,128000,
2012,6/29/2012,7/2/2012,49400,130000,
2013,7/4/2013,7/7/2013,61000,161000,
2014,7/3/2014,7/6/2014,86000,220000,
2015,7/2/2015,7/5/2015,90500,260700,
2016,7/1/2016,7/4/2016,100420,304799,
2017,7/1/2017,7/4/2017,107658,357178,
2018,7/4/2018,7/8/2018,110000,350000,
2019,7/3/2019,7/7/2019,NA,NA,
2020,7/2/2020,7/5/2020,NA,NA,online
2021,7/2/2021,7/5/2021,NA,NA,online
2022,7/1/2022,7/2/2022,NA,NA,first in-person AX after pandemic
2023,7/1/2023,7/4/2023,NA,NA,
